"scenario_id","generator","mc","n","tau","p","signal","null","c","num_permut","alpha","min_size","methods","variants","ndsup","base_seed","change_kind","dependence","rho","phi","theta","permutation_scheme","block_length"
"blk_ar1_pos_iid","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000001,"mean","ar1","0.3","","","iid",""
"blk_ar1_pos_L7","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000002,"mean","ar1","0.3","","","block","7"
"blk_ar1_pos_L10","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000003,"mean","ar1","0.3","","","block","10"
"blk_ar1_pos_L15","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000004,"mean","ar1","0.3","","","block","15"
"blk_ar1_pos_L20","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000005,"mean","ar1","0.3","","","block","20"
"blk_arma_pos_iid","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000006,"mean","arma11","","0.3","0.3","iid",""
"blk_arma_pos_L7","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000007,"mean","arma11","","0.3","0.3","block","7"
"blk_arma_pos_L10","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000008,"mean","arma11","","0.3","0.3","block","10"
"blk_arma_pos_L15","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000009,"mean","arma11","","0.3","0.3","block","15"
"blk_arma_pos_L20","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile","dist_cpd;dist_cpd_AD;dist_cpd_W",200,90000010,"mean","arma11","","0.3","0.3","block","20"
