"scenario_id","generator","mc","n","tau","p","signal","null","c","num_permut","alpha","min_size","methods","variants","ndsup","base_seed","change_kind","dependence","rho","phi","theta"
"dep_iid_null","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000001,"mean","ar1","0","",""
"dep_ar1_pos_null","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000002,"mean","ar1","0.3","",""
"dep_ar1_neg_null","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000003,"mean","ar1","-0.3","",""
"dep_arma_pos_null","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000004,"mean","arma11","","0.3","0.3"
"dep_arma_neg_null","dependent_change",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000005,"mean","arma11","","-0.3","-0.3"
"dep_iid_mean_l1","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000006,"mean","ar1","0","",""
"dep_iid_mean_l2","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000007,"mean","ar1","0","",""
"dep_iid_mean_l3","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000008,"mean","ar1","0","",""
"dep_iid_mean_l4","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000009,"mean","ar1","0","",""
"dep_iid_mean_l5","dependent_change",100,300,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000010,"mean","ar1","0","",""
"dep_iid_scale_l1","dependent_change",100,300,0.333333,10,0.08,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000011,"scale","ar1","0","",""
"dep_iid_scale_l2","dependent_change",100,300,0.333333,10,0.16,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000012,"scale","ar1","0","",""
"dep_iid_scale_l3","dependent_change",100,300,0.333333,10,0.24,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000013,"scale","ar1","0","",""
"dep_iid_scale_l4","dependent_change",100,300,0.333333,10,0.32,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000014,"scale","ar1","0","",""
"dep_iid_scale_l5","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000015,"scale","ar1","0","",""
"dep_iid_tail_l1","dependent_change",100,300,0.333333,10,22,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000016,"tail","ar1","0","",""
"dep_iid_tail_l2","dependent_change",100,300,0.333333,10,17,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000017,"tail","ar1","0","",""
"dep_iid_tail_l3","dependent_change",100,300,0.333333,10,12,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000018,"tail","ar1","0","",""
"dep_iid_tail_l4","dependent_change",100,300,0.333333,10,7,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000019,"tail","ar1","0","",""
"dep_iid_tail_l5","dependent_change",100,300,0.333333,10,2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000020,"tail","ar1","0","",""
"dep_ar1_pos_mean_l1","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000021,"mean","ar1","0.3","",""
"dep_ar1_pos_mean_l2","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000022,"mean","ar1","0.3","",""
"dep_ar1_pos_mean_l3","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000023,"mean","ar1","0.3","",""
"dep_ar1_pos_mean_l4","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000024,"mean","ar1","0.3","",""
"dep_ar1_pos_mean_l5","dependent_change",100,300,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000025,"mean","ar1","0.3","",""
"dep_ar1_pos_scale_l1","dependent_change",100,300,0.333333,10,0.08,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000026,"scale","ar1","0.3","",""
"dep_ar1_pos_scale_l2","dependent_change",100,300,0.333333,10,0.16,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000027,"scale","ar1","0.3","",""
