"scenario_id","generator","mc","n","tau","p","signal","null","c","num_permut","alpha","min_size","methods","variants","ndsup","base_seed","covariance"
"ntc_baseline_l0","gaussian_mean",100,300,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000001,"spectral"
"ntc_baseline_l1","gaussian_mean",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000002,"spectral"
"ntc_baseline_l2","gaussian_mean",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000003,"spectral"
"ntc_baseline_l3","gaussian_mean",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000004,"spectral"
"ntc_baseline_l4","gaussian_mean",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000005,"spectral"
"ntc_baseline_l5","gaussian_mean",100,300,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000006,"spectral"
"ntc_n150_l0","gaussian_mean",100,150,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000007,"spectral"
"ntc_n150_l1","gaussian_mean",100,150,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000008,"spectral"
"ntc_n150_l2","gaussian_mean",100,150,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000009,"spectral"
"ntc_n150_l3","gaussian_mean",100,150,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000010,"spectral"
"ntc_n150_l4","gaussian_mean",100,150,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000011,"spectral"
"ntc_n150_l5","gaussian_mean",100,150,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000012,"spectral"
"ntc_n600_l0","gaussian_mean",100,600,0.333333,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000013,"spectral"
"ntc_n600_l1","gaussian_mean",100,600,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000014,"spectral"
