"scenario_id","generator","mc","n","tau","p","signal","null","c","num_permut","alpha","min_size","methods","variants","ndsup","base_seed","change_kind","dependence","rho","phi","theta","permutation_scheme","block_length"
"pow_ar1_pos_mean_l1_iid","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000001,"mean","ar1","0.3","","","iid",""
"pow_ar1_pos_mean_l1_block_L7","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000002,"mean","ar1","0.3","","","block","7"
"pow_ar1_pos_mean_l1_block_L10","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000003,"mean","ar1","0.3","","","block","10"
"pow_ar1_pos_mean_l1_block_L15","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000004,"mean","ar1","0.3","","","block","15"
"pow_ar1_pos_mean_l1_block_L20","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000005,"mean","ar1","0.3","","","block","20"
"pow_ar1_pos_mean_l1_circular","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000006,"mean","ar1","0.3","","","circular",""
"pow_ar1_pos_mean_l2_iid","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000007,"mean","ar1","0.3","","","iid",""
"pow_ar1_pos_mean_l2_block_L7","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000008,"mean","ar1","0.3","","","block","7"
"pow_ar1_pos_mean_l2_block_L10","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000009,"mean","ar1","0.3","","","block","10"
"pow_ar1_pos_mean_l2_block_L15","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000010,"mean","ar1","0.3","","","block","15"
"pow_ar1_pos_mean_l2_block_L20","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000011,"mean","ar1","0.3","","","block","20"
"pow_ar1_pos_mean_l2_circular","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000012,"mean","ar1","0.3","","","circular",""
"pow_ar1_pos_mean_l3_iid","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000013,"mean","ar1","0.3","","","iid",""
"pow_ar1_pos_mean_l3_block_L7","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000014,"mean","ar1","0.3","","","block","7"
"pow_ar1_pos_mean_l3_block_L10","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000015,"mean","ar1","0.3","","","block","10"
"pow_ar1_pos_mean_l3_block_L15","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000016,"mean","ar1","0.3","","","block","15"
"pow_ar1_pos_mean_l3_block_L20","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000017,"mean","ar1","0.3","","","block","20"
"pow_ar1_pos_mean_l3_circular","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000018,"mean","ar1","0.3","","","circular",""
"pow_ar1_pos_mean_l4_iid","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000019,"mean","ar1","0.3","","","iid",""
"pow_ar1_pos_mean_l4_block_L7","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000020,"mean","ar1","0.3","","","block","7"
"pow_ar1_pos_mean_l4_block_L10","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,100000021,"mean","ar1","0.3","","","block","10"
